dataset,endpoint,method,scope,n_runs,n_mean,mean_mae,std_mae,mean_rmse,mean_bias
BindingDB_Articles_202608,EC50,deming_bias_fallback,all,5,122.0,0.45288732905276063,0.061238423604040824,0.7762548795191397,0.00012473005145777221
BindingDB_Articles_202608,EC50,deming_bias_fallback,both_assays_seen,5,82.0,0.5168937599764474,0.09005675919746636,0.8382854536448419,0.00017472416464526307
BindingDB_Articles_202608,EC50,deming_bias_fallback,cold_assay_pair,5,106.0,0.48821190398719405,0.0733185688902322,0.8202677608896669,0.0
BindingDB_Articles_202608,EC50,deming_bias_fallback,cold_dst_assay,5,28.0,0.3432035596680084,0.20733274166642862,0.6223727851106797,0.005197174153958727
BindingDB_Articles_202608,EC50,deming_bias_fallback,seen_assay_pair,5,16.0,0.2251969977133171,0.14195547535855715,0.34588961343234503,0.0009370599419370625
BindingDB_Articles_202608,EC50,deming_bias_fallback,single_chain_target,5,122.0,0.45288732905276063,0.061238423604040824,0.7762548795191397,0.00012473005145777221
BindingDB_Articles_202608,EC50,external_somol_gauge,all,5,122.0,0.3838479228601258,0.09123317108231731,0.5931017372402222,-1.5480200351253512e-17
BindingDB_Articles_202608,EC50,external_somol_gauge,both_assays_seen,5,82.0,0.3881336637701288,0.10350848048682929,0.5595655525005999,-2.6289365034146105e-17
BindingDB_Articles_202608,EC50,external_somol_gauge,cold_assay_pair,5,106.0,0.4064888304246736,0.08616005740208141,0.6190751686268048,-1.7734273895440863e-17
BindingDB_Articles_202608,EC50,external_somol_gauge,cold_dst_assay,5,28.0,0.37043020977870894,0.1928595707448237,0.6469625000046957,0.05537154406379515
BindingDB_Articles_202608,EC50,external_somol_gauge,seen_assay_pair,5,16.0,0.22616968201364948,0.14017267711212233,0.3438251157709988,0.0
BindingDB_Articles_202608,EC50,external_somol_gauge,single_chain_target,5,122.0,0.3838479228601258,0.09123317108231731,0.5931017372402222,-1.5480200351253512e-17
BindingDB_Articles_202608,EC50,external_somol_guarded_stack,all,5,122.0,0.41156628933794853,0.08279209994760005,0.6498642161212025,-1.0545875797363929e-17
BindingDB_Articles_202608,EC50,external_somol_guarded_stack,both_assays_seen,5,82.0,0.4438518277125798,0.08389073376095237,0.6696315423417304,-1.7694090004790057e-17
BindingDB_Articles_202608,EC50,external_somol_guarded_stack,cold_assay_pair,5,106.0,0.4400203467114664,0.08248272809326677,0.6831695370745877,-1.3697099260440295e-17
BindingDB_Articles_202608,EC50,external_somol_guarded_stack,cold_dst_assay,5,28.0,0.364028229433888,0.19185371449769448,0.644393956423035,0.050229153648113554
