endpoint,seed,cycle_len,n_cycles,n_common_directed_edges,max_gauge_affine_fit_residual,max_somol_affine_fit_residual
EC50,13,3,1458,1326,1.3580248037214915e-12,1.3580248037214915e-12
EC50,13,4,3000,1326,1.3580248037214915e-12,1.3580248037214915e-12
EC50,17,3,1454,1352,1.2434497875801753e-12,3.396394276933279e-12
EC50,17,4,3000,1352,1.2434497875801753e-12,3.396394276933279e-12
EC50,23,3,1480,1361,2.2319923687064147e-12,9.698908343125368e-13
EC50,23,4,3000,1361,2.2319923687064147e-12,9.698908343125368e-13
EC50,29,3,1472,1354,1.2434497875801753e-12,1.0942358130705543e-12
EC50,29,4,3000,1354,1.2434497875801753e-12,1.0942358130705543e-12
EC50,31,3,1464,1363,9.237055564881302e-13,2.2311041902867146e-12
EC50,31,4,3000,1363,9.237055564881302e-13,2.2311041902867146e-12
IC50,13,3,3000,13558,1.4068746168049984e-11,1.7550405573274475e-11
IC50,13,4,3000,13558,1.4068746168049984e-11,1.7550405573274475e-11
IC50,17,3,3000,14144,1.7038814803527202e-11,1.993782916542841e-11
IC50,17,4,3000,14144,1.7038814803527202e-11,1.993782916542841e-11
IC50,23,3,3000,13808,1.5134560271690134e-11,1.9525714378687553e-11
IC50,23,4,3000,13808,1.5134560271690134e-11,1.9525714378687553e-11
IC50,29,3,3000,13866,1.6967760529951192e-11,1.9241497284383513e-11
IC50,29,4,3000,13866,1.6967760529951192e-11,1.9241497284383513e-11
IC50,31,3,3000,14075,1.3770318219030742e-11,1.8559376258053817e-11
IC50,31,4,3000,14075,1.3770318219030742e-11,1.8559376258053817e-11
KD,13,3,152,368,1.829647544582258e-13,2.682298827494378e-13
KD,13,4,110,368,1.829647544582258e-13,2.682298827494378e-13
KD,17,3,156,384,2.1316282072803006e-13,1.936228954946273e-13
KD,17,4,110,384,2.1316282072803006e-13,1.936228954946273e-13
KD,23,3,152,374,2.149391775674303e-13,2.2737367544323206e-13
KD,23,4,110,374,2.149391775674303e-13,2.2737367544323206e-13
KD,29,3,156,382,2.7000623958883807e-13,1.971756091734278e-13
KD,29,4,110,382,2.7000623958883807e-13,1.971756091734278e-13
KD,31,3,154,380,1.687538997430238e-13,2.149391775674303e-13
KD,31,4,110,380,1.687538997430238e-13,2.149391775674303e-13
KI,13,3,3000,14675,3.430855599617644e-11,3.430855599617644e-11
KI,13,4,3000,14675,3.430855599617644e-11,3.430855599617644e-11
KI,17,3,3000,14793,6.861888834919228e-11,6.574102663868805e-12
KI,17,4,3000,14793,6.861888834919228e-11,6.574102663868805e-12
KI,23,3,3000,13970,6.861888834919228e-11,6.861888834919228e-11
KI,23,4,3000,13970,6.861888834919228e-11,6.861888834919228e-11
KI,29,3,3000,14493,1.065444621417555e-09,6.599378821192659e-10
KI,29,4,3000,14493,1.065444621417555e-09,6.599378821192659e-10
KI,31,3,3000,13849,3.430855599617644e-11,3.430944417459614e-11
KI,31,4,3000,13849,3.430855599617644e-11,3.430944417459614e-11
