endpoint,method,n,mean_abs_closure,median_abs_closure,mean_signed_closure
EC50,empirical_delta,22328,0.48409875859530976,0.23882539212057136,0.007037083151759468
EC50,gauge_selector_micro,22328,0.27327297246631405,0.14021175792721735,-0.03140165060600152
EC50,somol_robust_blend_bucket,22328,0.3107932791962855,0.18460719855149144,-0.009532721892893897
IC50,empirical_delta,30000,0.1653108337505911,0.01252334815756347,-0.001737539075042284
IC50,gauge_selector_micro,30000,0.1498997105000716,0.05028909249729517,-0.009266730760412711
IC50,somol_robust_blend_bucket,30000,0.15528084293233368,0.05455171571763917,-0.008008634462114497
KD,empirical_delta,1320,0.23541922673147198,0.14318469800858846,6.7286243916676156e-18
KD,gauge_selector_micro,1320,0.2900378130319706,0.2955547987091971,0.01180343564053343
KD,somol_robust_blend_bucket,1320,0.2863368986172758,0.27921755460552333,0.02030923296797635
KI,empirical_delta,30000,0.10704229891779429,0.000480715795720954,-0.0017772887151273548
KI,gauge_selector_micro,30000,0.09039118533914016,0.0048571438821424975,-0.003972133884934047
KI,somol_robust_blend_bucket,30000,0.09268188036992796,0.001735123650448484,-0.004696716660281861
