endpoint,cycle_len,method,min_edge_support_bucket,min_node_degree_bucket,n,mean_abs_closure,std_abs_closure,median_abs_closure,mean_signed_closure
EC50,3,empirical_delta,01_1_4,01_1_9,1566,0.14816919682104496,0.23781243052965187,0.021274072067138494,7.685911226393435e-05
EC50,3,empirical_delta,01_1_4,02_10_99,4100,0.6823211168067449,0.5978554129789636,0.5523731144215861,-1.2997732971221345e-18
EC50,3,empirical_delta,02_5_19,01_1_9,638,0.052663397104795,0.12186516036922111,0.008698265001261203,-8.004742810776991e-18
EC50,3,empirical_delta,02_5_19,02_10_99,100,0.027351679683818703,0.03403332159427866,0.014008410581017107,1.3739009929736312e-17
EC50,3,empirical_delta,03_20_99,01_1_9,284,0.014918994223631406,0.031749911883741315,9.820960044315541e-05,3.740242987522763e-18
EC50,3,empirical_delta,03_20_99,02_10_99,350,0.03590254618943673,0.026731206035058467,0.03177322375106032,-4.0146457586891825e-18
EC50,3,empirical_delta,04_100plus,01_1_9,290,0.0006328492463316043,0.0024588664393285268,8.981193083457129e-06,1.019897767772571e-18
EC50,3,gauge_selector_micro,01_1_4,01_1_9,1566,0.12855825522541128,0.2211364935088811,0.013198997621146525,-0.017047711048001808
EC50,3,gauge_selector_micro,01_1_4,02_10_99,4100,0.3483489903356295,0.3847736507932426,0.23510791489567495,-0.03890583992000731
EC50,3,gauge_selector_micro,02_5_19,01_1_9,638,0.08612555402596897,0.09644751111932243,0.04285382492652426,0.012394790456998235
EC50,3,gauge_selector_micro,02_5_19,02_10_99,100,0.246803847989418,0.1224643080004552,0.24651629678643683,-0.05928419848581759
EC50,3,gauge_selector_micro,03_20_99,01_1_9,284,0.1130725008022508,0.10162011258973512,0.10862098456989161,0.004766999810948211
EC50,3,gauge_selector_micro,03_20_99,02_10_99,350,0.1048314027916723,0.03993117601265653,0.1017547752328112,-0.029344130235431046
EC50,3,gauge_selector_micro,04_100plus,01_1_9,290,0.007923988841185862,0.029132572024873547,0.00034256159369682056,-0.004777317323281679
EC50,3,somol_robust_blend_bucket,01_1_4,01_1_9,1566,0.14326545489360176,0.23253233465385406,0.04520373358640953,-0.015650900526690173
EC50,3,somol_robust_blend_bucket,01_1_4,02_10_99,4100,0.3961436784505546,0.36960644588354374,0.2912191103701248,-0.018190066603698134
EC50,3,somol_robust_blend_bucket,02_5_19,01_1_9,638,0.10260071254842412,0.11240834090165461,0.07433965387665215,0.02647752826091545
EC50,3,somol_robust_blend_bucket,02_5_19,02_10_99,100,0.23298717461436758,0.11970390678827496,0.24282593137546693,0.019722780405319332
EC50,3,somol_robust_blend_bucket,03_20_99,01_1_9,284,0.10484747577307069,0.10064156146805503,0.0972102069118096,-0.0036480279716085617
EC50,3,somol_robust_blend_bucket,03_20_99,02_10_99,350,0.10087239875404261,0.038210671497240674,0.09901945983051638,-0.0099797560722958
EC50,3,somol_robust_blend_bucket,04_100plus,01_1_9,290,0.0036196841221333874,0.020284822363560644,0.0,0.001943734771971486
EC50,4,empirical_delta,01_1_4,01_1_9,2878,0.167508460248456,0.25264486688080723,0.05252011305913472,0.0003438056751190139
EC50,4,empirical_delta,01_1_4,02_10_99,9735,0.7318132004428836,0.6831939119518223,0.5596179036912208,0.015838711519989696
EC50,4,empirical_delta,02_5_19,01_1_9,1515,0.06798942264075737,0.13483309301907723,0.009890203648653895,0.00022830633333621478
EC50,4,empirical_delta,02_5_19,02_10_99,35,0.0405826677500247,0.0394094195134199,0.031142151187495044,0.000998659893456374
EC50,4,empirical_delta,03_20_99,01_1_9,256,0.0227508701699808,0.0437420215465265,0.0016371130236167986,0.0005139522528296512
EC50,4,empirical_delta,03_20_99,02_10_99,252,0.0378397705771999,0.032193529996436994,0.02822867664637315,0.005205948606561431
EC50,4,empirical_delta,04_100plus,01_1_9,329,3.5395533979925776e-05,5.5052004699349654e-05,1.3931892169694038e-05,-1.8705973490661927e-08
EC50,4,gauge_selector_micro,01_1_4,01_1_9,2878,0.1609644297243586,0.247119913528642,0.05423933686261654,-0.017087689198411214
