endpoint,route_group,source_type,method,scope,n_runs,mean_mae,std_mae,mean_rmse,std_rmse,mean_bias,mean_n,mean_groups
EC50,classic,ours_rerun_same_split,assay_mean,micro,5,0.5507459923908746,0.009741546203311002,0.7648125293739487,0.02281779549280717,-0.04219801051953964,6882.4,1.0
EC50,classic,ours_rerun_same_split,assay_mean,macro_target,5,0.6053133136226488,0.026178135872096282,0.7180709226892044,0.02477347443897404,-0.02371669249921976,6882.4,115.0
EC50,classic,ours_rerun_same_split,assay_mean,macro_assay_pair,5,0.7280981025000617,0.04498423599762464,0.7717774004347666,0.04883024438632869,-0.21108583592027164,6882.4,1518.4
EC50,classic,ours_rerun_same_split,identity,micro,5,0.318667810972096,0.041139665723032265,0.8157899858609758,0.05983587789483319,0.0,6882.4,1.0
EC50,classic,ours_rerun_same_split,identity,macro_target,5,0.5483649472221139,0.03970384574400293,0.6680672353032621,0.043121543817430504,0.0,6882.4,115.0
EC50,classic,ours_rerun_same_split,identity,macro_assay_pair,5,0.5660875529462608,0.03810471451803301,0.5920826840521348,0.043286590528544326,3.607405392954031e-18,6882.4,1518.4
EC50,classic,ours_rerun_same_split,identity_bias,micro,5,0.18547694801686007,0.030331024065255115,0.4474046495103252,0.05538750754384435,-2.342591447939066e-19,6882.4,1.0
EC50,classic,ours_rerun_same_split,identity_bias,macro_target,5,0.3068240888163164,0.03266340676532948,0.4015948941795995,0.039482396563278566,-1.157051905928349e-18,6882.4,115.0
EC50,classic,ours_rerun_same_split,identity_bias,macro_assay_pair,5,0.4584152358191087,0.0655085689971179,0.48285709035188595,0.06660955006311413,-4.94609272803029e-18,6882.4,1518.4
EC50,classic,ours_rerun_same_split,pair_affine,micro,5,0.169997367696742,0.02715567319282849,0.42476824217205555,0.07484823267805857,-0.00692675259818602,6882.4,1.0
EC50,classic,ours_rerun_same_split,pair_affine,macro_target,5,0.3075784759406546,0.015882092477617252,0.4050010428982468,0.018806832284592085,-0.0004122736659711001,6882.4,115.0
EC50,classic,ours_rerun_same_split,pair_affine,macro_assay_pair,5,0.4285667280024465,0.043034979287748035,0.4513640375122785,0.04511592468726053,-0.03196767789549116,6882.4,1518.4
EC50,classic,ours_rerun_same_split,pair_affine_bias_fallback,micro,5,0.17312898809019658,0.03156682895766675,0.44463422123572566,0.08658459584296302,-0.0008314367194314198,6882.4,1.0
EC50,classic,ours_rerun_same_split,pair_affine_bias_fallback,macro_target,5,0.27527970008844654,0.027729515009528912,0.3762816508099015,0.042734331321995694,0.0008198209244361405,6882.4,115.0
EC50,classic,ours_rerun_same_split,pair_affine_bias_fallback,macro_assay_pair,5,0.4446363846948797,0.06750836954306257,0.4677205334172309,0.06973149352126494,-0.0019119600842918802,6882.4,1518.4
EC50,classic,ours_rerun_same_split,pair_affine_shrink_k10,micro,5,0.17265744983168269,0.031565668527876865,0.4272546255542693,0.0674081043684741,-0.00038331232680009997,6882.4,1.0
EC50,classic,ours_rerun_same_split,pair_affine_shrink_k10,macro_target,5,0.2774132469503549,0.02885190576955189,0.3699564285234701,0.039720556286468284,0.0011330823805313997,6882.4,115.0
EC50,classic,ours_rerun_same_split,pair_affine_shrink_k10,macro_assay_pair,5,0.44391458964724206,0.06732864842401247,0.46638893012691324,0.06915947784381944,-0.0008901012998747401,6882.4,1518.4
EC50,classic,ours_rerun_same_split,pair_isotonic,micro,5,0.17365443044329096,0.027085949150495135,0.4271626095299205,0.0753225122946891,-0.00610651490192458,6882.4,1.0
EC50,classic,ours_rerun_same_split,pair_isotonic,macro_target,5,0.3188402678396344,0.015552886665122227,0.42068544997527957,0.02226200738909936,-6.077482907644004e-05,6882.4,115.0
