endpoint,method,scope,n_runs,mean_mae,std_mae,mean_rmse
EC50,deming_bias_fallback,macro_assay_pair,5,0.5283247783079147,0.07790585872567574,0.5833448925018813
EC50,deming_bias_fallback,macro_target,5,0.5325240851248607,0.21624283536317107,0.9804677054037942
EC50,deming_bias_fallback,micro,5,0.24688674993907714,0.05343030989133247,2.179823212146546
EC50,odr_tls_bias_fallback,macro_assay_pair,5,0.5277722432113551,0.07802935433342977,0.5828224062752563
EC50,odr_tls_bias_fallback,macro_target,5,0.5320118736625725,0.2164889845896385,0.9802461286458296
EC50,odr_tls_bias_fallback,micro,5,0.24653754088220364,0.053436312759014996,2.179700843089726
EC50,robust_trimmed_bias_fallback,macro_assay_pair,5,0.4416216706006429,0.06892383168525723,0.46577498883811164
EC50,robust_trimmed_bias_fallback,macro_target,5,0.2691007463778733,0.028859614699442957,0.37311943848610646
EC50,robust_trimmed_bias_fallback,micro,5,0.1673748277473322,0.03184193949098049,0.44306664385442235
IC50,deming_bias_fallback,macro_assay_pair,5,0.4990496271863633,0.02456107415782072,0.5283197623908218
IC50,deming_bias_fallback,macro_target,5,0.34621562971730835,0.02876908674330401,0.6311908825451221
IC50,deming_bias_fallback,micro,5,0.289027388677361,0.032883061920073633,3.164104016327111
IC50,odr_tls_bias_fallback,macro_assay_pair,5,0.4984533777242655,0.024566232298038303,0.5276934789503168
IC50,odr_tls_bias_fallback,macro_target,5,0.34523937903653823,0.028857881031623574,0.6305984286721183
IC50,odr_tls_bias_fallback,micro,5,0.28857139163453965,0.03298236580976644,3.164023257219591
IC50,robust_trimmed_bias_fallback,macro_assay_pair,5,0.4189572391982271,0.00840015673007682,0.4355194379925035
IC50,robust_trimmed_bias_fallback,macro_target,5,0.23052938187849287,0.007179820189797463,0.3225664537820501
IC50,robust_trimmed_bias_fallback,micro,5,0.19289039891551607,0.0124643788539967,0.44850659876890003
KD,deming_bias_fallback,macro_assay_pair,5,0.4461306931763941,0.0710085268708462,0.4944793107178305
KD,deming_bias_fallback,macro_target,5,0.6085796002220935,0.22959017419444,0.8641087935739952
KD,deming_bias_fallback,micro,5,0.3185015097534585,0.08822374324262415,1.346753215892596
KD,odr_tls_bias_fallback,macro_assay_pair,5,0.4461306931763941,0.07100852687084622,0.4944793107178304
KD,odr_tls_bias_fallback,macro_target,5,0.6085796002220935,0.22959017419444003,0.8641087935739952
KD,odr_tls_bias_fallback,micro,5,0.3185015097534584,0.08822374324262418,1.346753215892596
KD,robust_trimmed_bias_fallback,macro_assay_pair,5,0.32514506224303114,0.029624774838024545,0.36349497224563554
KD,robust_trimmed_bias_fallback,macro_target,5,0.3530578646493294,0.05426121357541963,0.4455822576300023
KD,robust_trimmed_bias_fallback,micro,5,0.22689128112906726,0.0064667440491572034,0.4373154288229039
KI,deming_bias_fallback,macro_assay_pair,5,0.24514407502603408,0.12448101495111068,0.26801899273219193
KI,deming_bias_fallback,macro_target,5,0.21964325188851674,0.034804210112824883,0.37645311373534435
KI,deming_bias_fallback,micro,5,0.21085043128521058,0.06330694920373266,0.8249767592453422
KI,odr_tls_bias_fallback,macro_assay_pair,5,0.24510674944245947,0.1244660688089861,0.2679812572762744
KI,odr_tls_bias_fallback,macro_target,5,0.2194551581844773,0.03485435566870424,0.3763155764224594
KI,odr_tls_bias_fallback,micro,5,0.2108057581676821,0.06330891540614587,0.8249667321313341
KI,robust_trimmed_bias_fallback,macro_assay_pair,5,0.20626575676280295,0.09095574441683094,0.22838860338234007
KI,robust_trimmed_bias_fallback,macro_target,5,0.16383869142896834,0.018385860068645888,0.23574525910016816
KI,robust_trimmed_bias_fallback,micro,5,0.17268304958231243,0.04686412253186373,0.5001522469437606
