endpoint,seed,filter,n,primary_mae,baseline_mae,delta_baseline_minus_primary
IC50,13,all,50960,0.182695349314622,0.18760810540929163,0.004912756094669624
IC50,13,activity_in_2_12,50934,0.18208611247551731,0.18705196735345572,0.004965854877938408
IC50,13,no_data_validity_comment,50120,0.17900601354096596,0.18376640292731408,0.004760389386348124
IC50,13,no_potential_duplicate_flag,17302,0.3185086624353034,0.3251845912239859,0.006675928788682506
IC50,13,publication_only,15728,0.40989451178453806,0.4219676148113708,0.012073103026832732
IC50,13,target_confidence_9,50960,0.182695349314622,0.18760810540929163,0.004912756094669624
IC50,13,single_protein_target,50960,0.182695349314622,0.18760810540929163,0.004912756094669624
IC50,13,assay_n_ge_50,29654,0.07346749661034174,0.07375121408457216,0.0002837174742304216
IC50,13,assay_n_ge_100,21760,0.059748168946267846,0.059799668864410654,5.14999181428083e-05
IC50,13,pair_support_ge_5,43446,0.12043713977684714,0.12098183981176205,0.0005447000349149134
IC50,13,pair_support_ge_10,42246,0.11742301390628714,0.11752431600356539,0.00010130209727825246
IC50,13,pair_support_ge_20,35576,0.09619969663407633,0.09611046675274826,-8.922988132807619e-05
IC50,17,all,52410,0.1943592853134046,0.19973424986672886,0.005374964553324257
IC50,17,activity_in_2_12,52368,0.19363401117102655,0.19888676606520736,0.005252754894180811
IC50,17,no_data_validity_comment,51620,0.19064576405451478,0.19589812004372004,0.00525235598920526
IC50,17,no_potential_duplicate_flag,18628,0.32889625591987576,0.33593706116453537,0.007040805244659609
IC50,17,publication_only,17386,0.4064020761896806,0.4199225240527243,0.013520447863043683
IC50,17,target_confidence_9,52410,0.1943592853134046,0.19973424986672886,0.005374964553324257
IC50,17,single_protein_target,52410,0.1943592853134046,0.19973424986672886,0.005374964553324257
IC50,17,assay_n_ge_50,29390,0.07574732759457092,0.07574226337949969,-5.0642150712376655e-06
IC50,17,assay_n_ge_100,21870,0.06277594892126273,0.0627606632314005,-1.528568986222667e-05
IC50,17,pair_support_ge_5,43662,0.12289035377573371,0.12303683573859915,0.00014648196286544402
IC50,17,pair_support_ge_10,42658,0.12094862489101736,0.121259944705303,0.00031131981428564326
IC50,17,pair_support_ge_20,35914,0.09957047029536996,0.09958561873635359,1.5148440983631106e-05
IC50,23,all,53116,0.19170016651316837,0.19497021387832775,0.003270047365159373
IC50,23,activity_in_2_12,53094,0.19082344579028432,0.1943605291920173,0.0035370834017329766
IC50,23,no_data_validity_comment,52220,0.18417182734465923,0.1882893036846613,0.004117476340002063
IC50,23,no_potential_duplicate_flag,18738,0.3020263452754845,0.305701476548785,0.0036751312733004915
IC50,23,publication_only,16820,0.4052777378588403,0.41445411986037456,0.009176382001534256
IC50,23,target_confidence_9,53116,0.19170016651316837,0.19497021387832775,0.003270047365159373
IC50,23,single_protein_target,53116,0.19170016651316837,0.19497021387832775,0.003270047365159373
IC50,23,assay_n_ge_50,29832,0.07860254108836885,0.07841754923264387,-0.00018499185572498633
IC50,23,assay_n_ge_100,21472,0.06806849277506218,0.06808713377863591,1.8641003573738324e-05
IC50,23,pair_support_ge_5,44354,0.12327968661484351,0.12382299110845567,0.0005433044936121595
IC50,23,pair_support_ge_10,42962,0.12175300558604217,0.12203506554860763,0.00028205996256545907
IC50,23,pair_support_ge_20,35960,0.09940501169518816,0.09942292143366044,1.7909738472279835e-05
IC50,29,all,49518,0.1746394788569818,0.17973113999285167,0.005091661135869868
IC50,29,activity_in_2_12,49492,0.174200207742336,0.179350188582258,0.005149980839922019
IC50,29,no_data_validity_comment,48572,0.17167577708139248,0.17639410213792758,0.004718325056535105
IC50,29,no_potential_duplicate_flag,17478,0.30415041390590647,0.31002120778472547,0.005870793878819003
IC50,29,publication_only,13950,0.4003078142360731,0.41516040864154113,0.014852594405468045
IC50,29,target_confidence_9,49518,0.1746394788569818,0.17973113999285167,0.005091661135869868
IC50,29,single_protein_target,49518,0.1746394788569818,0.17973113999285167,0.005091661135869868
IC50,29,assay_n_ge_50,29506,0.07246109501817175,0.07245276844600756,-8.32657216418009e-06
IC50,29,assay_n_ge_100,21532,0.06009839680059648,0.06010609911517214,7.702314575655511e-06
IC50,29,pair_support_ge_5,43736,0.12059388110583986,0.12112690394917164,0.0005330228433317735
IC50,29,pair_support_ge_10,42366,0.11727087181842584,0.1176319713913254,0.00036109957289956474
IC50,29,pair_support_ge_20,35858,0.09300576101808306,0.0930412911120232,3.5530093940139285e-05
IC50,31,all,56950,0.20659604657092848,0.21214309998940184,0.005547053418473363
IC50,31,activity_in_2_12,56898,0.205997681717357,0.2117989357473068,0.005801254029949798
IC50,31,no_data_validity_comment,55792,0.1964951451218676,0.20267559561558945,0.006180450493721845
IC50,31,no_potential_duplicate_flag,18904,0.3176590346803585,0.3201375222940036,0.0024784876136451084
IC50,31,publication_only,21276,0.40803457960333195,0.42054715289242756,0.012512573289095608
IC50,31,target_confidence_9,56950,0.20659604657092848,0.21214309998940184,0.005547053418473363
IC50,31,single_protein_target,56950,0.20659604657092848,0.21214309998940184,0.005547053418473363
IC50,31,assay_n_ge_50,29772,0.07803539956508607,0.07846405527529589,0.0004286557102098215
IC50,31,assay_n_ge_100,21488,0.06655404461394114,0.06653721470510647,-1.682990883467017e-05
IC50,31,pair_support_ge_5,44016,0.12505175547684957,0.12546807170206525,0.00041631622521567935
IC50,31,pair_support_ge_10,43066,0.12307256653290564,0.12348969131764359,0.0004171247847379461
IC50,31,pair_support_ge_20,35966,0.09819009627664191,0.09830936347062423,0.00011926719398232255
KI,13,all,20610,0.2400090800804509,0.24368426451498748,0.0036751844345365714
KI,13,activity_in_2_12,20356,0.2360115129731255,0.2377222613489596,0.001710748375834098
KI,13,no_data_validity_comment,20056,0.2372625763973029,0.24018601318142352,0.002923436784120631
KI,13,no_potential_duplicate_flag,1836,0.353924869304232,0.35511876823806654,0.0011938989338345363
KI,13,publication_only,13926,0.32035601228584826,0.3258164793973217,0.005460467111473466
KI,13,target_confidence_9,20610,0.2400090800804509,0.24368426451498748,0.0036751844345365714
KI,13,single_protein_target,20610,0.2400090800804509,0.24368426451498748,0.0036751844345365714
KI,13,assay_n_ge_50,6116,0.06919869311449062,0.06878668700738326,-0.0004120061071073572
KI,13,assay_n_ge_100,4838,0.07456325034290592,0.07380418776752806,-0.0007590625753778613
KI,13,pair_support_ge_5,14996,0.22390581042552044,0.22709187670159098,0.0031860662760705427
KI,13,pair_support_ge_10,13638,0.21199385843862528,0.21445921497855136,0.002465356539926078
KI,13,pair_support_ge_20,11556,0.19054486195814158,0.19296315709506456,0.0024182951369229877
KI,17,all,31834,0.12800375737791467,0.1387656808734552,0.010761923495540532
KI,17,activity_in_2_12,31542,0.12178132332252133,0.1336655755485827,0.011884252226061362
KI,17,no_data_validity_comment,31402,0.1216973221829788,0.1339569783416852,0.012259656158706417
KI,17,no_potential_duplicate_flag,1802,0.34995041828221385,0.3492524878972273,-0.0006979303849865559
KI,17,publication_only,24614,0.1455243116456982,0.15913968367508396,0.013615372029385758
KI,17,target_confidence_9,31834,0.12800375737791467,0.1387656808734552,0.010761923495540532
KI,17,single_protein_target,31834,0.12800375737791467,0.1387656808734552,0.010761923495540532
KI,17,assay_n_ge_50,6358,0.05843604184751343,0.05791410915161357,-0.0005219326958998613
KI,17,assay_n_ge_100,5128,0.06327136010581334,0.06323906397098637,-3.2296134826970135e-05
KI,17,pair_support_ge_5,17252,0.16496449669091612,0.18500885389309138,0.02004435720217526
