endpoint,comparison,block_unit,delta_mean,ci_low,ci_high,p_le_zero,bootstrap_win_rate,n_blocks,n_splits,bootstrap_design
IC50,somol_robust_blend_bucket_vs_robust_trimmed_bias_fallback,assay_pair,0.01925134406201997,0.01535479435232432,0.02231767583780651,0.0,1.0,68474,5,hierarchical_split_then_within_split_block
IC50,somol_robust_blend_bucket_vs_robust_trimmed_bias_fallback,target,0.004069469365772166,3.238115699945633e-05,0.008519969253125011,0.023,0.977,3119,5,hierarchical_split_then_within_split_block
IC50,somol_robust_blend_bucket_vs_robust_trimmed_bias_fallback,assay_dst_node,0.0064901195682528934,0.003590787349320711,0.009030414180411443,0.0,1.0,22283,5,hierarchical_split_then_within_split_block
EC50,somol_robust_blend_bucket_vs_robust_trimmed_bias_fallback,assay_pair,0.016023343154661036,0.007114998062388531,0.02562790874901429,0.002,0.998,7592,5,hierarchical_split_then_within_split_block
EC50,somol_robust_blend_bucket_vs_robust_trimmed_bias_fallback,target,-0.006559577926913529,-0.01795944028806182,0.003702577484165428,0.909,0.091,575,5,hierarchical_split_then_within_split_block
EC50,somol_robust_blend_bucket_vs_robust_trimmed_bias_fallback,assay_dst_node,0.0014331464328882484,-0.004450014290310114,0.0075766743124822,0.299,0.701,2697,5,hierarchical_split_then_within_split_block
KI,somol_robust_blend_bucket_vs_robust_trimmed_bias_fallback,assay_pair,0.005426750503485172,-0.0009226380365543593,0.014257829034298996,0.073,0.927,107746,5,hierarchical_split_then_within_split_block
KI,somol_robust_blend_bucket_vs_robust_trimmed_bias_fallback,target,-0.003127728092404769,-0.012574257144976866,0.0032335218159539737,0.801,0.199,976,5,hierarchical_split_then_within_split_block
KI,somol_robust_blend_bucket_vs_robust_trimmed_bias_fallback,assay_dst_node,6.109203206228533e-05,-0.004126107580411256,0.0039364379949696745,0.475,0.525,6791,5,hierarchical_split_then_within_split_block
KD,somol_robust_blend_bucket_vs_robust_trimmed_bias_fallback,assay_pair,0.002819249404863094,-0.017745270971756683,0.023820403688823703,0.385,0.615,1790,5,hierarchical_split_then_within_split_block
KD,somol_robust_blend_bucket_vs_robust_trimmed_bias_fallback,target,0.001779103728419406,-0.056975751306465934,0.06402066298751247,0.485,0.515,202,5,hierarchical_split_then_within_split_block
KD,somol_robust_blend_bucket_vs_robust_trimmed_bias_fallback,assay_dst_node,-0.0003358135529053414,-0.0265880222446874,0.028581815257983874,0.538,0.462,866,5,hierarchical_split_then_within_split_block
