endpoint,seed,primary_method,competitor,primary_mae,competitor_mae,delta_competitor_minus_primary,n,delta_std,corrected_standard_error,corrected_resampled_t,corrected_p_greater,test_train_ratio
IC50,13,somol_robust_blend_bucket,robust_trimmed_bias_fallback,0.17990332495940803,0.18553609801214455,0.005632773052736517,50960,,,,,
IC50,17,somol_robust_blend_bucket,robust_trimmed_bias_fallback,0.19147018038916352,0.19744652396071358,0.005976343571550052,52410,,,,,
IC50,23,somol_robust_blend_bucket,robust_trimmed_bias_fallback,0.1892354652799776,0.19332053078657532,0.004085065506597735,53116,,,,,
IC50,29,somol_robust_blend_bucket,robust_trimmed_bias_fallback,0.17238381273929237,0.17758790954265538,0.005204096803363006,49518,,,,,
IC50,31,somol_robust_blend_bucket,robust_trimmed_bias_fallback,0.20436684608825584,0.21056093227549183,0.006194086187235992,56950,,,,,
IC50,seed_summary,somol_robust_blend_bucket,robust_trimmed_bias_fallback,,,0.00541847302429666,5,0.0008340642362199512,0.0005368456994877439,10.093166489862817,0.0002710890414443175,0.2142857142857143
EC50,13,somol_robust_blend_bucket,robust_trimmed_bias_fallback,0.12284215371474286,0.12298433769064518,0.00014218397590232135,6352,,,,,
EC50,17,somol_robust_blend_bucket,robust_trimmed_bias_fallback,0.1980328048406509,0.20563130231936103,0.007598497478710137,7290,,,,,
EC50,23,somol_robust_blend_bucket,robust_trimmed_bias_fallback,0.1579517320318623,0.16204654884900252,0.004094816817140218,6974,,,,,
EC50,29,somol_robust_blend_bucket,robust_trimmed_bias_fallback,0.18751725946586714,0.18934605399892324,0.001828794533056094,6874,,,,,
EC50,31,somol_robust_blend_bucket,robust_trimmed_bias_fallback,0.15139087140318133,0.15686589587872915,0.005475024475547818,6922,,,,,
EC50,seed_summary,somol_robust_blend_bucket,robust_trimmed_bias_fallback,,,0.003827863456071318,5,0.0029403483740559682,0.0018925561258467105,2.022589134237047,0.05658174324680733,0.2142857142857143
KI,13,somol_robust_blend_bucket,robust_trimmed_bias_fallback,0.23858528886333225,0.2472710589507753,0.008685770087443062,20610,,,,,
KI,17,somol_robust_blend_bucket,robust_trimmed_bias_fallback,0.1220972482340425,0.12189533726810059,-0.00020191096594190938,31834,,,,,
KI,23,somol_robust_blend_bucket,robust_trimmed_bias_fallback,0.1613073139284698,0.16760009889636715,0.006292784967897341,51378,,,,,
KI,29,somol_robust_blend_bucket,robust_trimmed_bias_fallback,0.17921709733104552,0.17817724049660508,-0.001039856834440439,27452,,,,,
KI,31,somol_robust_blend_bucket,robust_trimmed_bias_fallback,0.1484826374595222,0.14847151229971423,-1.1125159807973128e-05,56080,,,,,
KI,seed_summary,somol_robust_blend_bucket,robust_trimmed_bias_fallback,,,0.0027451324190300164,5,0.0044295930602468525,0.0028511089213603116,0.9628297251163129,0.19507854583625073,0.2142857142857143
KD,13,somol_robust_blend_bucket,robust_trimmed_bias_fallback,0.22193985981472905,0.22719356656207787,0.005253706747348819,1486,,,,,
KD,17,somol_robust_blend_bucket,robust_trimmed_bias_fallback,0.22247139925920245,0.2286033514713347,0.006131952212132252,1490,,,,,
KD,23,somol_robust_blend_bucket,robust_trimmed_bias_fallback,0.22483601963775773,0.22073566151326557,-0.004100358124492165,1716,,,,,
KD,29,somol_robust_blend_bucket,robust_trimmed_bias_fallback,0.22654710594075286,0.2212877398985428,-0.005259366042210056,1588,,,,,
KD,31,somol_robust_blend_bucket,robust_trimmed_bias_fallback,0.23473622003726294,0.23663608620011553,0.0018998661628525926,1662,,,,,
KD,seed_summary,somol_robust_blend_bucket,robust_trimmed_bias_fallback,,,0.0007851601911262884,5,0.00524888676869101,0.003378447566149803,0.2324026570644944,0.4138159467021346,0.2142857142857143
