endpoint,method,scope,n_runs,mean_mae,std_mae,mean_rmse,mean_bias,mean_n,mean_groups
EC50,robust_trimmed_bias_fallback,macro_assay_pair,5,0.44162167060064295,0.06892383168525722,0.46577498883811164,0.00053901761446977,6882.4,1518.4
EC50,robust_trimmed_bias_fallback,macro_target,5,0.2691007463778733,0.02885961469944295,0.3731194384861065,0.004851861292284099,6882.4,115.0
EC50,robust_trimmed_bias_fallback,micro,5,0.16737482774733223,0.03184193949098047,0.44306664385442235,0.00329557529369365,6882.4,1.0
EC50,somol_no_gauge_stack_micro,macro_assay_pair,5,0.4302290057740638,0.0641587767410965,0.45312899970311193,-0.012301736063917096,6882.4,1518.4
EC50,somol_no_gauge_stack_micro,macro_target,5,0.2802205754681686,0.02496032181743512,0.3766131421229555,-0.0008745248025212735,6882.4,115.0
EC50,somol_no_gauge_stack_micro,micro,5,0.16863244589466694,0.028568512676442444,0.4287143832830197,-0.0025978159706893387,6882.4,1.0
EC50,somol_robust_blend_bucket,macro_assay_pair,5,0.4255983274459819,0.06197413772360606,0.4489193583427011,-0.005977130504034574,6882.4,1518.4
EC50,somol_robust_blend_bucket,macro_target,5,0.2756603243047868,0.025774459072211157,0.37270743964789876,0.0022571162140977287,6882.4,115.0
EC50,somol_robust_blend_bucket,micro,5,0.1635469642912609,0.02999919612075527,0.4286926231255691,0.0006435921161520571,6882.4,1.0
EC50,somol_robust_blend_bucket_exact_no_gauge,macro_assay_pair,5,0.42813220677649744,0.06424101302661914,0.4515147751350625,-0.011227473221108192,6882.4,1518.4
EC50,somol_robust_blend_bucket_exact_no_gauge,macro_target,5,0.27602198761656616,0.023800150142755855,0.3749296083089799,0.0007543097864017613,6882.4,115.0
EC50,somol_robust_blend_bucket_exact_no_gauge,micro,5,0.16382934631025978,0.02835104628377063,0.4283013536896626,-0.0005326344071716893,6882.4,1.0
IC50,robust_trimmed_bias_fallback,macro_assay_pair,5,0.41895723919822714,0.00840015673007683,0.43551943799250353,0.0042461735982126225,52590.8,13694.8
IC50,robust_trimmed_bias_fallback,macro_target,5,0.2305293818784929,0.007179820189797463,0.3225664537820502,0.003963604617778356,52590.8,623.8
IC50,robust_trimmed_bias_fallback,micro,5,0.19289039891551613,0.012464378853996677,0.44850659876890003,0.0039002510280310735,52590.8,1.0
IC50,somol_no_gauge_stack_micro,macro_assay_pair,5,0.411642049873245,0.009340508046936855,0.4266617292003702,-0.005602404403611922,52590.8,13694.8
IC50,somol_no_gauge_stack_micro,macro_target,5,0.23262394067017148,0.009811171700078464,0.31622900943080323,0.0016666585622263988,52590.8,623.8
IC50,somol_no_gauge_stack_micro,micro,5,0.19283364836184777,0.011804532698997248,0.43168069081408467,-0.00042715980472134835,52590.8,1.0
IC50,somol_robust_blend_bucket,macro_assay_pair,5,0.3997058951362072,0.009142861932811516,0.4154957138174701,-0.0009399152626111743,52590.8,13694.8
IC50,somol_robust_blend_bucket,macro_target,5,0.22645991251272068,0.009055105082812084,0.3115576930729379,0.002927538041351816,52590.8,623.8
IC50,somol_robust_blend_bucket,micro,5,0.18747192589121947,0.012139494606661257,0.42415024302453297,0.002073228868479913,52590.8,1.0
IC50,somol_robust_blend_bucket_exact_no_gauge,macro_assay_pair,5,0.4103281027317345,0.009201247332110219,0.42614754216863143,-0.004753167263845365,52590.8,13694.8
IC50,somol_robust_blend_bucket_exact_no_gauge,macro_target,5,0.22892111166560652,0.010516703358456989,0.3160004245913587,0.0035090520171032536,52590.8,623.8
IC50,somol_robust_blend_bucket_exact_no_gauge,micro,5,0.1902663254067446,0.011839996248251203,0.4342816254577233,0.001355029702846839,52590.8,1.0
KD,robust_trimmed_bias_fallback,macro_assay_pair,5,0.3251450622430312,0.02962477483802454,0.3634949722456356,-0.015830852351625062,1588.4,358.0
KD,robust_trimmed_bias_fallback,macro_target,5,0.3530578646493295,0.054261213575419624,0.4455822576300023,-0.010902151026018343,1588.4,40.4
KD,robust_trimmed_bias_fallback,micro,5,0.2268912811290673,0.006466744049157197,0.4373154288229039,-0.0013781594961909192,1588.4,1.0
KD,somol_no_gauge_stack_micro,macro_assay_pair,5,0.35156314647700376,0.031006222855165674,0.3830940858576073,0.01154173878338011,1588.4,358.0
KD,somol_no_gauge_stack_micro,macro_target,5,0.3626580521769397,0.018887451668982525,0.44190850881535226,0.009789577693482137,1588.4,40.4
KD,somol_no_gauge_stack_micro,micro,5,0.23479249685602235,0.008908974602911077,0.43119448277559247,0.0012457165550142381,1588.4,1.0
KD,somol_robust_blend_bucket,macro_assay_pair,5,0.3223258128381681,0.01360879375877761,0.3566861267247442,0.0008539725676537813,1588.4,358.0
KD,somol_robust_blend_bucket,macro_target,5,0.35127876092091004,0.016406215586423238,0.43326296926682595,0.005933109006830681,1588.4,40.4
KD,somol_robust_blend_bucket,micro,5,0.226106120937941,0.005168538695275213,0.41924989795225204,-0.0004922060874040213,1588.4,1.0
KD,somol_robust_blend_bucket_exact_no_gauge,macro_assay_pair,5,0.3467104558566489,0.03234058484958566,0.3805702515326014,0.01204191100922375,1588.4,358.0
KD,somol_robust_blend_bucket_exact_no_gauge,macro_target,5,0.357292923071372,0.023289075769513362,0.44146473657470586,0.00713046287497863,1588.4,40.4
KD,somol_robust_blend_bucket_exact_no_gauge,micro,5,0.2323242897985275,0.007858204144872842,0.4330627215795261,0.002595264132000543,1588.4,1.0
KI,robust_trimmed_bias_fallback,macro_assay_pair,5,0.206265756762803,0.09095574441683091,0.22838860338234013,-0.0017079302919708287,37470.8,21549.2
KI,robust_trimmed_bias_fallback,macro_target,5,0.16383869142896834,0.01838586006864588,0.23574525910016816,-0.001334047690199519,37470.8,195.2
KI,robust_trimmed_bias_fallback,micro,5,0.17268304958231245,0.04686412253186371,0.5001522469437606,-0.0030954846738582413,37470.8,1.0
KI,somol_no_gauge_stack_micro,macro_assay_pair,5,0.20680985385512005,0.0812558860234234,0.22674253662113775,0.0016899724531642356,37470.8,21549.2
KI,somol_no_gauge_stack_micro,macro_target,5,0.16700067066463825,0.019764655486852235,0.23556119752009871,-0.0013420824299696563,37470.8,195.2
KI,somol_no_gauge_stack_micro,micro,5,0.18187909613733574,0.04111497306311989,0.484187713478922,0.0008312736786160136,37470.8,1.0
KI,somol_robust_blend_bucket,macro_assay_pair,5,0.20083900625931786,0.0857090457848849,0.22279167417475204,-0.0001301773402103957,37470.8,21549.2
KI,somol_robust_blend_bucket,macro_target,5,0.16696641952137312,0.019963070861173042,0.23954954415409055,-0.0005366123217765701,37470.8,195.2
KI,somol_robust_blend_bucket,micro,5,0.16993791716328246,0.04365235036304201,0.4797974305043068,-0.0022899063347860617,37470.8,1.0
KI,somol_robust_blend_bucket_exact_no_gauge,macro_assay_pair,5,0.20545890728657817,0.08510508507419386,0.2274984428452626,0.0003941615452519561,37470.8,21549.2
KI,somol_robust_blend_bucket_exact_no_gauge,macro_target,5,0.1640740549586512,0.019566368026124804,0.2352925097443957,-0.0007001257561844347,37470.8,195.2
KI,somol_robust_blend_bucket_exact_no_gauge,micro,5,0.17226530774921445,0.04367434081355393,0.49145212098017294,-0.002049256536857118,37470.8,1.0
