scenario,route_group,source_type,method,scope,n_runs,mean_mae,std_mae,mean_rmse,std_rmse,mean_bias,mean_n,mean_groups
all,classic,ours_rerun_same_split,identity_bias,micro,20,0.20992177044925953,0.0403606871391159,0.46599456922168436,0.048659670781868655,-1.4762408520481855e-18,24633.1,1.0
all,classic,ours_rerun_same_split,identity_bias,macro_target,20,0.2783402470759374,0.07486627688214066,0.35970663159259925,0.07930536502509529,-1.3444212743099219e-18,24633.1,243.6
all,classic,ours_rerun_same_split,identity_bias,macro_assay_pair,20,0.361640004569047,0.11177466734995688,0.38444811748074476,0.11442370364760722,-1.7555861764761675e-18,24633.1,9280.1
all,classic,ours_rerun_same_split,pair_affine_bias_fallback,micro,20,0.1954722358639092,0.0331608803696988,0.44743424180869146,0.05853251845195966,-0.0009534149970763132,24633.1,1.0
all,classic,ours_rerun_same_split,pair_affine_bias_fallback,macro_target,20,0.2555643910825959,0.06942234603101234,0.33873556650477177,0.0774032532336982,-0.0008990173248639699,24633.1,243.6
all,classic,ours_rerun_same_split,pair_affine_bias_fallback,macro_assay_pair,20,0.34987780686981595,0.10801515022943486,0.37224894484777354,0.11010344717397953,-0.004708145071722389,24633.1,9280.1
all,classic,ours_rerun_same_split,pair_isotonic,micro,20,0.22727413553948944,0.04477073423753237,0.4690325219561016,0.06347694179055346,-0.01797548296365208,24633.1,1.0
all,classic,ours_rerun_same_split,pair_isotonic,macro_target,20,0.33881223205079836,0.10304451933887752,0.4346386411263369,0.10974336550971166,0.012452226198911369,24633.1,243.6
all,classic,ours_rerun_same_split,pair_isotonic,macro_assay_pair,20,0.4092003904128583,0.044181910441019656,0.43575290728012267,0.047765770717258585,-0.02950470912774498,24633.1,9280.1
all,direct_competitor,ours_rerun_same_split,calibration_grid_selector_micro,micro,20,0.1963233772925663,0.03571899154407294,0.4504905500091567,0.05580835846549148,-0.0003018021457923051,24633.1,1.0
all,direct_competitor,ours_rerun_same_split,calibration_grid_selector_micro,macro_target,20,0.26984797618250733,0.08035667732317767,0.35397687143090145,0.08590904220806851,0.0024583200783743057,24633.1,243.6
all,direct_competitor,ours_rerun_same_split,calibration_grid_selector_micro,macro_assay_pair,20,0.35528801822614675,0.10339803663460526,0.3773975713082586,0.10584837766372404,-0.0017007914171846064,24633.1,9280.1
all,method_comparison,ours_rerun_same_split,robust_trimmed_bias_fallback,micro,20,0.18995988934355704,0.03593472691100689,0.4572602295974967,0.06793711722651286,0.0006805455379188908,24633.1,1.0
all,method_comparison,ours_rerun_same_split,robust_trimmed_bias_fallback,macro_target,20,0.25413167108366597,0.07618148739300887,0.3442533522495818,0.08607591153879282,-0.0008551832015388512,24633.1,243.6
all,method_comparison,ours_rerun_same_split,robust_trimmed_bias_fallback,macro_assay_pair,20,0.34799743220117607,0.10953033274577896,0.3732945006146477,0.11111433179220236,-0.0031883978577283735,24633.1,9280.1
all,missing_modality,ours_rerun_same_split,missing_metadata_pair_or_global_delta,micro,20,0.19867611797128096,0.03420810512122713,0.4652791255737525,0.06590230812569245,-0.0009534149970763132,24633.1,1.0
all,missing_modality,ours_rerun_same_split,missing_metadata_pair_or_global_delta,macro_target,20,0.27415050348394476,0.08656880907117451,0.3615102954093219,0.09204524835188956,-0.0008990173248639687,24633.1,243.6
all,missing_modality,ours_rerun_same_split,missing_metadata_pair_or_global_delta,macro_assay_pair,20,0.3581715448306215,0.10234255731873337,0.38054600921225157,0.10458493419061551,-0.004708145071722387,24633.1,9280.1
all,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k5,micro,20,0.2840048049572502,0.07611158833846801,1.096777077288748,0.8885526797042957,-0.012078451404565978,24633.1,1.0
all,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k5,macro_target,20,0.4408091935568918,0.08318356681463382,0.6554113247423988,0.1718467170608738,-0.0031802617165225234,24633.1,243.6
all,modern_assay_context,ours_rerun_same_split_surrogate,assay_context_pair_or_knn_k5,macro_assay_pair,20,0.6020998494835729,0.24769712324520105,0.6264609730293735,0.24680987576973,-0.033542916317611,24633.1,9280.1
