endpoint,seed,within_assay_noise_floor,n_repeat_groups,raw_cross_assay_mae,primary_calibrated_mae,baseline_mae,gap_closed_vs_raw_to_floor,remaining_gap_to_floor
IC50,13,0.4034739517782106,28292,0.3722976217012246,0.182695349314622,0.18760810540929163,,-0.2207786024635886
IC50,17,0.4034739517782106,28292,0.38093571141428856,0.1943592853134046,0.19973424986672886,,-0.209114666464806
IC50,23,0.4034739517782106,28292,0.37630441586924235,0.19170016651316837,0.19497021387832775,,-0.21177378526504223
IC50,29,0.4034739517782106,28292,0.3755215951036931,0.1746394788569818,0.17973113999285167,,-0.2288344729212288
IC50,31,0.4034739517782106,28292,0.37933431598346967,0.20659604657092848,0.21214309998940184,,-0.19687790520728213
KI,13,0.350868720270617,10452,0.40600870630930863,0.2400090800804509,0.24368426451498748,3.0105126633941484,-0.11085964019016609
KI,17,0.350868720270617,10452,0.220859361494408,0.12800375737791467,0.1387656808734552,,-0.22286496289270233
KI,23,0.350868720270617,10452,0.2346815790875539,0.16849150312007186,0.170928419010272,,-0.18237721715054514
KI,29,0.350868720270617,10452,0.37202485913957245,0.19763364528022898,0.21278248285828943,8.24305488537161,-0.15323507499038802
KI,31,0.350868720270617,10452,0.2320727753897256,0.15548865138824966,0.15712434217079208,,-0.19538006888236734
KD,13,0.2749694458290898,535,1.1685851710436257,0.2236239302394273,0.22800449050160604,1.0574581603041235,-0.051345515589662466
KD,17,0.2749694458290898,535,1.1940586960815949,0.22278404013313208,0.22608413693371912,1.0567794756402826,-0.0521854056959577
KD,23,0.2749694458290898,535,1.099285476848515,0.22832750424688353,0.22373662001981248,1.056582596755427,-0.04664194158220625
KD,29,0.2749694458290898,535,1.2344655066328551,0.23156747641245617,0.2275156567109335,1.0452341298621652,-0.0434019694166336
KD,31,0.2749694458290898,535,1.1435653375046175,0.2370755530609532,0.24098687409673153,1.0436266083357117,-0.03789389276813657
EC50,13,0.3368214667054844,7046,0.2587682103902417,0.12758125740820167,0.12899976605073146,,-0.20924020929728274
EC50,17,0.3368214667054844,7046,0.34962014273163217,0.2017517821020692,0.21169814258100106,11.553410706503326,-0.1350696846034152
EC50,23,0.3368214667054844,7046,0.2968987749451429,0.1624056052021561,0.16781468105322503,,-0.1744158615033283
EC50,29,0.3368214667054844,7046,0.35925614188663113,0.19227144548760108,0.1937898900287368,7.443151953426001,-0.14455002121788332
EC50,31,0.3368214667054844,7046,0.32879578490683226,0.15558776532190216,0.16334246073728875,,-0.18123370138358225
